,Cameroon,Ghana,Nigeria,Democratic Republic of the Congo
2023,64056.890625,98055.4921875,186999.90625,1202268.375
2024,65009.78125,91118.0078125,217787.75,1190700.125
2025,65000.53125,88367.0,232113.828125,1185262.5
