,Cameroon,Ghana,Nigeria,Democratic Republic of the Congo
2023,85243.609375,103530.1328125,166269.84375,1223865.0
2024,73050.796875,92436.0078125,179595.96875,1221582.0
2025,70523.5625,86561.25,186013.078125,1220274.0
