,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Lagos,309.0,117.0,55.0,53.0,252.0,387.0,610.0,487.0,485.0,197.0,1011.0,894.0,807.0,887.0,1026.0,1899.0,5200.0,2880.0,2301.0,1403.0,3118.0,2299.0,2911.610389610345,3059.3512140033417,3207.0920383963385
Nassarawa,269.0,176.0,396.0,233.0,184.0,901.0,120.0,1005.0,428.0,292.0,547.0,355.0,455.0,635.0,202.0,226.0,533.0,333.0,350.0,284.0,233.0,300.0,359.33766233766164,357.1575381140592,354.9774138904568
Niger,1382.0,748.0,2362.0,1231.0,613.0,1945.0,1099.0,933.0,2035.0,356.0,8785.0,3812.0,213.0,180.0,251.0,226.0,432.0,277.0,326.0,419.0,442.0,261.0,480.62337662337814,410.4483342744061,340.2732919254631
Ogun,3107.0,2793.0,511.0,723.0,1689.0,1958.0,5787.0,5075.0,2025.0,2739.0,4375.0,7167.0,5030.0,4099.0,3174.0,7644.0,27547.0,20792.0,11650.0,14269.0,16240.0,12575.0,16442.558441558387,17236.105025409255,18029.651609260356
Ondo,3598.0,4488.0,824.0,1351.0,1974.0,1594.0,2133.0,3330.0,3526.0,3896.0,3545.0,3464.0,5679.0,6904.0,6557.0,12411.0,20277.0,14514.0,9216.0,9434.0,9969.0,9906.0,12836.779220779194,13405.23433088651,13973.689440993825
Osun,476.0,627.0,148.0,136.0,585.0,352.0,603.0,1271.0,818.0,1457.0,915.0,1466.0,2442.0,2425.0,1858.0,3926.0,11749.0,6428.0,5542.0,7386.0,5650.0,4193.0,6803.1428571428405,7155.775832862826,7508.408808582812
Oyo,2360.0,918.0,926.0,303.0,1154.0,1160.0,4619.0,2654.0,1457.0,779.0,1970.0,5364.0,2619.0,2470.0,2744.0,3202.0,10834.0,6482.0,3478.0,8159.0,5250.0,4008.0,6333.805194805143,6596.389045736869,6858.972896668594
Plateau,2.0,8.0,2.0,3.0,17.0,3.0,7.0,21.0,9.0,2.0,3.0,40.0,14.0,11.0,11.0,17.0,58.0,35.0,33.0,39.0,56.0,61.0,47.63636363636397,49.99209486166001,52.34782608695696
Rivers,1262.0,405.0,438.0,330.0,315.0,275.0,621.0,725.0,447.0,1079.0,626.0,886.0,1831.0,4748.0,3906.0,3454.0,6841.0,6628.0,2386.0,3424.0,1488.0,4709.0,4729.961038961075,4956.186900056491,5182.412761151907
Sokoto,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35064935064936265,-0.40485601355167944,-0.45906267645399623
Taraba,1985.0,1776.0,2711.0,3260.0,1215.0,6892.0,1935.0,2218.0,2651.0,2587.0,17074.0,1197.0,3726.0,4477.0,3014.0,3539.0,11453.0,11448.0,12709.0,9066.0,15739.0,19868.0,13469.272727272706,14085.019762845943,14700.766798418947
Yobe,1.0,1.0,2.0,3.0,2.0,7.0,0.0,1.0,3.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181824383,-0.33596837944668323,-0.49011857707512263
Zamfara,8.0,1.0,22.0,9.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.519480519480453,-2.9954827780914,-3.471485036702461
